generation,best_fitness,avg_fitness
0,1.5732541521077237,1.5360348696250588
1,1.5732541521077237,1.5360348696250588
2,1.5775559307939748,1.5360348696250588
3,1.5775559307939748,1.5360348696250588
4,1.5837793633807897,1.5360348696250588
5,1.5837793633807897,1.5360348696250588
6,1.5837793633807897,1.5360348696250588
7,1.5837793633807897,1.5360348696250588
8,1.5837793633807897,1.5360348696250588
9,1.5837793633807897,1.5360348696250588
10,1.5837793633807897,1.5360348696250588
11,1.5837793633807897,1.5360348696250588
12,1.5837793633807897,1.5360348696250588
13,1.5837793633807897,1.5360348696250588
14,1.5837793633807897,1.5360348696250588
15,1.5837793633807897,1.5360348696250588
16,1.5837793633807897,1.5360348696250588
17,1.5837793633807897,1.5360348696250588
18,1.5837793633807897,1.5360348696250588
19,1.5837793633807897,1.5360348696250588
20,1.5837793633807897,1.5360348696250588
21,1.5837793633807897,1.5360348696250588
22,1.5837793633807897,1.5360348696250588
23,1.5837793633807897,1.5360348696250588
24,1.5837793633807897,1.5360348696250588
25,1.5837793633807897,1.5360348696250588
26,1.5837793633807897,1.5360348696250588
27,1.5840061848681355,1.5360348696250588
28,1.5840061848681355,1.5360348696250588
29,1.5840061848681355,1.5360348696250588
30,1.5840061848681355,1.5360348696250588
31,1.5840061848681355,1.5360348696250588
32,1.5840061848681355,1.5360348696250588
33,1.5840061848681355,1.5360348696250588
34,1.5840061848681355,1.5360348696250588
35,1.5840061848681355,1.5360348696250588
36,1.5840061848681355,1.5360348696250588
37,1.5842884260397618,1.5360348696250588
38,1.5842884260397618,1.5360348696250588
39,1.5842884260397618,1.5360348696250588
40,1.5842884260397618,1.5360348696250588
41,1.5842884260397618,1.5360348696250588
42,1.5842884260397618,1.5360348696250588
43,1.5842884260397618,1.5360348696250588
44,1.5842884260397618,1.5360348696250588
45,1.5842886794909294,1.5360348696250588
46,1.5842886794909294,1.5360348696250588
47,1.5842886794909294,1.5360348696250588
48,1.5842886794909294,1.5360348696250588
49,1.5842886794909294,1.5360348696250588
50,1.5842886794909294,1.5360348696250588
51,1.5842886794909294,1.5360348696250588
52,1.5842886794909294,1.5360348696250588
53,1.5842886794909294,1.5360348696250588
54,1.5842886794909294,1.5360348696250588
55,1.5842886794909294,1.5360348696250588
56,1.5842886794909294,1.5360348696250588
57,1.5842886794909294,1.5360348696250588
58,1.5842886794909294,1.5360348696250588
59,1.5842886794909294,1.5360348696250588
60,1.5842886794909294,1.5360348696250588
61,1.5842886794909294,1.5360348696250588
62,1.5842886794909294,1.5360348696250588
63,1.5842886794909294,1.5360348696250588
64,1.5842886794909294,1.5360348696250588
65,1.5842886794909294,1.5360348696250588
66,1.5842886794909294,1.5360348696250588
67,1.5842886794909294,1.5360348696250588
68,1.5842886794909294,1.5360348696250588
69,1.5842886794909294,1.5360348696250588
70,1.5842886794909294,1.5360348696250588
71,1.5842886794909294,1.5360348696250588
72,1.5842886794909294,1.5360348696250588
73,1.5842886794909294,1.5360348696250588
74,1.5842886794909294,1.5360348696250588
75,1.5842886794909294,1.5360348696250588
76,1.5842886794909294,1.5360348696250588
77,1.5842886794909294,1.5360348696250588
78,1.5842886794909294,1.5360348696250588
79,1.5842886794909294,1.5360348696250588
80,1.5842886794909294,1.5360348696250588
81,1.5842886794909294,1.5360348696250588
82,1.5842886794909294,1.5360348696250588
83,1.5842886794909294,1.5360348696250588
84,1.5842886794909294,1.5360348696250588
85,1.5842886794909294,1.5360348696250588
86,1.5842886794909294,1.5360348696250588
87,1.5842886794909294,1.5360348696250588
88,1.5842886794909294,1.5360348696250588
89,1.5842886794909294,1.5360348696250588
90,1.5842886794909294,1.5360348696250588
91,1.5842886794909294,1.5360348696250588
92,1.5842886794909294,1.5360348696250588
93,1.5842886794909294,1.5360348696250588
94,1.5842886794909294,1.5360348696250588
95,1.5842886794909294,1.5360348696250588
96,1.5842886794909294,1.5360348696250588
97,1.5842886794909294,1.5360348696250588
