twist_angle,lattice_constant,chern_number,thermal_drift_pm_per_K,bandgap_meV
0.5,400.0,0.0,0.15400000000000003,50.01374881530335
0.5,401.010101010101,0.0,0.15400000000000003,50.01374881530335
0.5,402.020202020202,0.0,0.15400000000000003,50.01374881530335
0.5,403.030303030303,0.0,0.15400000000000003,50.01374881530335
0.5,404.04040404040404,0.0,0.15400000000000003,50.01374881530335
0.5,405.050505050505,0.0,0.15400000000000003,50.01374881530335
0.5,406.06060606060606,0.0,0.15400000000000003,50.01374881530335
0.5,407.07070707070704,0.0,0.15400000000000003,50.01374881530335
0.5,408.0808080808081,0.0,0.15400000000000003,50.01374881530335
0.5,409.09090909090907,0.0,0.15400000000000003,50.01374881530335
0.5,410.1010101010101,0.0,0.15400000000000003,50.01374881530335
0.5,411.1111111111111,0.0,0.15400000000000003,50.01374881530335
0.5,412.1212121212121,0.0,0.15400000000000003,50.01374881530335
0.5,413.1313131313131,0.0,0.15400000000000003,50.01374881530335
0.5,414.14141414141415,0.0,0.15400000000000003,50.01374881530335
0.5,415.1515151515151,0.0,0.15400000000000003,50.01374881530335
0.5,416.16161616161617,0.0,0.15400000000000003,50.01374881530335
0.5,417.17171717171715,0.0,0.15400000000000003,50.01374881530335
0.5,418.1818181818182,0.0,0.15400000000000003,50.01374881530335
0.5,419.19191919191917,0.0,0.15400000000000003,50.01374881530335
0.5,420.2020202020202,0.0,0.15400000000000003,50.01374881530335
0.5,421.2121212121212,0.0,0.15400000000000003,50.01374881530335
0.5,422.22222222222223,0.0,0.15400000000000003,50.01374881530335
0.5,423.2323232323232,0.0,0.15400000000000003,50.01374881530335
0.5,424.24242424242425,0.0,0.15400000000000003,50.01374881530335
0.5,425.25252525252523,0.0,0.15400000000000003,50.01374881530335
0.5,426.26262626262627,0.0,0.15400000000000003,50.01374881530335
0.5,427.27272727272725,0.0,0.15400000000000003,50.01374881530335
0.5,428.2828282828283,0.0,0.15400000000000003,50.01374881530335
0.5,429.2929292929293,0.0,0.15400000000000003,50.01374881530335
0.5,430.3030303030303,0.0,0.15400000000000003,50.01374881530335
0.5,431.3131313131313,0.0,0.15400000000000003,50.01374881530335
0.5,432.32323232323233,0.0,0.15400000000000003,50.01374881530335
0.5,433.3333333333333,0.0,0.15400000000000003,50.01374881530335
0.5,434.34343434343435,0.0,0.15400000000000003,50.01374881530335
0.5,435.35353535353534,0.0,0.15400000000000003,50.01374881530335
0.5,436.3636363636364,0.0,0.15400000000000003,50.01374881530335
0.5,437.37373737373736,0.0,0.15400000000000003,50.01374881530335
0.5,438.3838383838384,0.0,0.15400000000000003,50.01374881530335
0.5,439.3939393939394,0.0,0.15400000000000003,50.01374881530335
0.5,440.4040404040404,0.0,0.15400000000000003,50.01374881530335
0.5,441.4141414141414,0.0,0.15400000000000003,50.01374881530335
0.5,442.42424242424244,0.0,0.15400000000000003,50.01374881530335
0.5,443.4343434343434,0.0,0.15400000000000003,50.01374881530335
0.5,444.44444444444446,0.0,0.15400000000000003,50.01374881530335
0.5,445.45454545454544,0.0,0.15400000000000003,50.01374881530335
0.5,446.4646464646465,0.0,0.15400000000000003,50.01374881530335
0.5,447.47474747474746,0.0,0.15400000000000003,50.01374881530335
0.5,448.4848484848485,0.0,0.15400000000000003,50.01374881530335
0.5,449.4949494949495,0.0,0.15400000000000003,50.01374881530335
0.5,450.5050505050505,0.0,0.15400000000000003,50.01374881530335
0.5,451.5151515151515,0.0,0.15400000000000003,50.01374881530335
0.5,452.52525252525254,0.0,0.15400000000000003,50.01374881530335
0.5,453.5353535353535,0.0,0.15400000000000003,50.01374881530335
0.5,454.54545454545456,0.0,0.15400000000000003,50.01374881530335
0.5,455.55555555555554,0.0,0.15400000000000003,50.01374881530335
0.5,456.5656565656566,0.0,0.15400000000000003,50.01374881530335
0.5,457.57575757575756,0.0,0.15400000000000003,50.01374881530335
0.5,458.5858585858586,0.0,0.15400000000000003,50.01374881530335
0.5,459.5959595959596,0.0,0.15400000000000003,50.01374881530335
0.5,460.6060606060606,0.0,0.15400000000000003,50.01374881530335
0.5,461.6161616161616,0.0,0.15400000000000003,50.01374881530335
0.5,462.62626262626264,0.0,0.15400000000000003,50.01374881530335
0.5,463.6363636363636,0.0,0.15400000000000003,50.01374881530335
0.5,464.64646464646466,0.0,0.15400000000000003,50.01374881530335
0.5,465.65656565656565,0.0,0.15400000000000003,50.01374881530335
0.5,466.6666666666667,0.0,0.15400000000000003,50.01374881530335
0.5,467.67676767676767,0.0,0.15400000000000003,50.01374881530335
0.5,468.6868686868687,0.0,0.15400000000000003,50.01374881530335
0.5,469.6969696969697,0.0,0.15400000000000003,50.01374881530335
0.5,470.7070707070707,0.0,0.15400000000000003,50.01374881530335
0.5,471.7171717171717,0.0,0.15400000000000003,50.01374881530335
0.5,472.72727272727275,0.0,0.15400000000000003,50.01374881530335
0.5,473.73737373737373,0.0,0.15400000000000003,50.01374881530335
0.5,474.74747474747477,0.0,0.15400000000000003,50.01374881530335
0.5,475.75757575757575,0.0,0.15400000000000003,50.01374881530335
0.5,476.7676767676768,0.0,0.15400000000000003,50.01374881530335
0.5,477.77777777777777,0.0,0.15400000000000003,50.01374881530335
0.5,478.7878787878788,0.0,0.15400000000000003,50.01374881530335
0.5,479.7979797979798,0.0,0.15400000000000003,50.01374881530335
0.5,480.80808080808083,0.0,0.15400000000000003,50.01374881530335
0.5,481.8181818181818,0.0,0.15400000000000003,50.01374881530335
0.5,482.82828282828285,0.0,0.15400000000000003,50.01374881530335
